# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 2364 1 6 66306 45776204 3 ./rtl_bt/rtl8761bu_config.bin
DUPTYPE_WITHIN_SAME_TREE -2364 1 6 66306 45776198 3 ./rtl_bt/rtl8922au_config.bin
DUPTYPE_FIRST_OCCURRENCE 1639 1 9 66306 45772093 3 ./intel/ibt-0040-0041.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45772082 3 ./intel/ibt-19-0-4.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45772081 3 ./intel/ibt-0180-0041.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45771995 3 ./intel/ibt-0040-2120.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45771997 3 ./intel/ibt-19-0-1.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45772019 3 ./intel/ibt-19-32-4.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45772018 3 ./intel/ibt-19-32-0.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45772016 3 ./intel/ibt-1040-2120.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45772015 3 ./intel/ibt-20-1-4.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45772084 3 ./intel/ibt-17-16-1.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45772000 3 ./intel/ibt-1040-0041.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45771999 3 ./intel/ibt-18-2.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45772128 3 ./intel/ibt-19-240-1.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45771934 3 ./intel/ibt-19-0-3.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45771931 3 ./intel/ibt-19-32-1.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45771930 3 ./intel/ibt-17-2.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45771926 3 ./intel/ibt-0190-0041.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45771925 3 ./intel/ibt-0093-0291.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45771947 3 ./intel/ibt-19-0-0.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45772012 3 ./intel/ibt-19-240-4.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45772094 3 ./intel/ibt-1040-1050.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45772095 3 ./intel/ibt-0093-0041.ddc
DUPTYPE_WITHIN_SAME_TREE -1639 1 9 66306 45771969 3 ./intel/ibt-1040-4150.ddc
